,Features,Score,coeff_r
0,SecondServeReturnPointsWon_BreakPointsOpportunities_TotalPointsWon,0.8819147945538711,0.9432262379852602
1,SecondServeReturnPointsWon_Aces_BreakPointsOpportunities,0.8697340417613011,0.9352183134865775
2,BreakPointsOpportunities_ReturnPointsWon_TotalServicePointsWon,0.8589749597317096,0.927246397667279
3,FirstServeReturnPointsWon_SecondServeReturnPointsWon_BreakPointsOpportunities,0.8585597863047214,0.9271755767173496
4,SecondServePointsWon_BreakPointsOpportunities_ReturnPointsWon,0.8581276067285136,0.9272441137448262
5,FirstServePointsWon_Aces_BreakPointsOpportunities,0.853560353384219,0.9248563591601172
6,Aces_BreakPointsOpportunities_BreakPointsSaved,0.8528175717356525,0.9235955220451113
7,FirstServePointsWon_BreakPointsConverted_BreakPointsOpportunities,0.8527061869215847,0.9236538425032271
8,Aces_BreakPointsOpportunities_ReturnGamesWon,0.8511190944513352,0.9226059142754987
9,Aces_BreakPointsConverted_BreakPointsOpportunities,0.8508402353176954,0.922577399206989
10,BreakPointsOpportunities_BreakPointsSaved_ReturnPointsWon,0.8507281058868289,0.9227624791325473
11,BreakPointsOpportunities_ReturnPointsWon_TotalPointsWon,0.8502258099777777,0.9269430567479758
12,BreakPointsConverted_BreakPointsOpportunities_TotalServicePointsWon,0.8474507732264311,0.9223523545761798
13,FirstServePointsWon_BreakPointsOpportunities_ReturnGamesWon,0.8452343161570136,0.9204934267947288
14,FirstServeReturnPointsWon_BreakPointsConverted_BreakPointsOpportunities,0.8449774197987051,0.9194308342087925
15,SecondServePointsWon_BreakPointsConverted_BreakPointsOpportunities,0.8427482371253732,0.920721084121318
