,Feature,Winnings,Wins,Ranking
0,BreakPointsFaced,0.8760356989199072,0.8834699298437789,-0.32208209803052423
1,DoubleFaults,0.8546851784438947,0.8474593354009959,-0.30586627236039937
2,Aces,0.7984043540699404,0.8253011922488656,-0.2778112907404095
3,TotalServicePointsWon,0.4077070018393843,0.3992703561393277,-0.20835506744437224
4,ServiceGamesWon,0.39557717398518866,0.3850403464836889,-0.19882221990394192
5,FirstServePointsWon,0.36112105949289974,0.3567016288756446,-0.15000394867000427
6,SecondServePointsWon,0.2812148088288473,0.2689786995380068,-0.18101292289365323
7,BreakPointsSaved,0.2582707718865988,0.2520527701433836,-0.12121964367708192
